C,Data,PDez,SDz,TDz,QDez,QiDez,SxDez,NGan,UF,Rateio
122,04/07/98,20,43,39,11,53,17,0,,0
123,11/07/98,13,42,16,32,14,26,0,,0
124,18/07/98,52,5,34,57,15,41,1,,24.536.288
125,25/07/98,56,47,25,59,53,41,0,,0
126,01/08/98,32,28,6,10,11,40,0,,0
127,08/08/98,59,21,51,54,29,50,0,,0
128,15/08/98,23,43,3,21,9,18,0,,0
129,22/08/98,46,54,10,9,1,32,0,,0
130,29/08/98,13,42,38,49,53,29,0,,0
131,05/09/98,30,9,17,27,4,44,0,,0
132,12/09/98,44,35,50,41,9,7,0,,0
133,19/09/98,19,57,6,39,34,5,1,,30.533.241
134,26/09/98,60,32,25,36,52,4,0,,0
135,03/10/98,35,40,21,59,53,22,0,,0
136,10/10/98,17,25,45,38,1,59,0,,0
137,17/10/98,26,15,16,22,19,49,0,,0
138,24/10/98,41,14,37,5,40,27,0,,0
139,31/10/98,26,27,13,42,41,3,2,,3.902.486
140,07/11/98,55,31,46,44,41,7,0,,0
141,14/11/98,10,22,42,13,41,58,0,,0
142,21/11/98,20,59,19,54,15,8,0,,0
143,28/11/98,40,18,6,20,50,53,0,,0
144,05/12/98,8,32,44,36,45,55,1,,33.597.755
145,12/12/98,43,15,41,51,16,31,0,,0
146,19/12/98,51,34,25,60,42,32,0,,0
147,24/12/98,24,6,38,23,28,16,1,,3.805.750
148,31/12/98,32,55,59,41,58,35,0,,0
149,09/01/99,11,45,48,7,28,20,0,,0
150,16/01/99,50,44,12,55,52,54,0,,0
151,23/01/99,3,43,16,56,52,20,1,,24.091.811
152,30/01/99,12,5,15,51,58,29,0,,0
153,06/02/99,47,2,31,42,45,30,0,,0
154,13/02/99,8,10,24,33,45,48,0,,0
155,20/02/99,12,32,44,43,35,30,1,,4.988.808
156,27/02/99,52,23,42,17,55,49,0,,0
157,06/03/99,17,13,4,44,41,21,1,,2.140.030
158,13/03/99,58,43,51,14,17,4,0,,0
159,20/03/99,16,9,50,58,11,35,1,PR,2.038.170
160,27/03/99,13,42,52,58,2,54,0,,0
161,03/04/99,25,37,30,39,6,41,0,,0
162,10/04/99,23,33,51,38,48,21,0,,0
163,17/04/99,41,56,27,36,53,8,2,,8.975.833
164,24/04/99,4,19,14,10,44,28,0,,0
165,01/05/99,39,56,19,23,10,35,2,,1.044.444
166,08/05/99,60,57,59,13,12,22,0,,0
167,15/05/99,1,38,48,28,11,33,1,,2.100.980
168,22/05/99,45,2,35,9,50,31,0,,0
169,29/05/99,52,51,37,13,21,1,0,,0
170,05/06/99,7,51,55,41,58,46,0,,0
171,12/06/99,54,27,4,43,40,46,1,,16.052.410
172,19/06/99,49,36,14,26,35,10,0,,0
173,26/06/99,29,28,49,17,42,50,1,,2.148.316
174,03/07/99,11,52,22,23,36,59,0,,0
175,10/07/99,10,20,13,1,42,50,0,,0
176,17/07/99,28,4,1,45,53,3,0,,0
177,24/07/99,35,22,39,41,59,38,0,,0
178,31/07/99,5,27,19,26,15,33,1,,6.129.539
179,07/08/99,6,53,5,26,27,23,0,,0
180,14/08/99,39,6,29,60,51,23,0,,0
181,21/08/99,33,1,55,35,51,27,0,,0
182,28/08/99,46,60,5,10,28,3,0,,0
183,04/09/99,16,11,7,40,44,2,0,,0
184,11/09/99,9,60,21,16,41,34,0,,0
185,18/09/99,59,17,22,46,43,55,0,,0
186,25/09/99,24,26,51,25,14,23,0,,0
187,02/10/99,6,44,58,41,36,48,0,,0
188,10/10/99,34,42,43,46,27,17,1,,64.905.517
189,16/10/99,41,53,38,4,31,15,0,,0
190,24/10/99,32,40,42,21,10,5,0,,0
191,31/10/99,58,5,41,3,1,23,1,,50.968.412
192,06/11/99,1,60,26,41,28,54,0,,0
193,13/11/99,12,4,11,49,43,19,0,,0
194,20/11/99,32,42,43,25,28,33,0,,0
195,27/11/99,17,3,44,37,9,32,1,AM,6.370.250
196,04/12/99,32,17,9,14,24,7,0,,0
197,11/12/99,19,52,29,15,12,5,0,,0
198,18/12/99,40,23,1,18,35,8,0,,0
199,24/12/99,52,37,57,16,10,50,1,SP,4.915.593
200,31/12/99,12,15,44,34,51,19,2,,8.829.389
201,08/01/00,55,22,5,30,35,20,1,RN,1.038.373
202,15/01/00,49,53,44,12,24,45,0,,0
203,22/01/00,11,55,44,19,29,47,0,,0
204,29/01/00,31,41,51,39,58,29,0,,0
205,05/02/00,26,32,54,43,46,40,1,RJ,4.490.339
206,12/02/00,20,26,56,18,34,51,0,,0
207,19/02/00,19,7,3,55,24,53,0,,0
208,26/02/00,23,15,57,24,47,25,0,,0
209,04/03/00,13,52,32,41,21,26,0,,0
210,11/03/00,37,58,20,38,48,32,0,,0
211,18/03/00,10,20,40,45,50,33,0,,0
212,25/03/00,29,57,15,45,59,6,0,,0
213,01/04/00,3,30,9,35,23,32,3,PR,7.089.194
214,08/04/00,30,12,6,50,35,31,0,,0
215,15/04/00,7,58,28,53,37,46,0,,0
216,22/04/00,35,42,59,18,30,14,4,BA,801.057
217,29/04/00,27,32,3,51,49,45,0,,0
218,06/05/00,54,40,42,17,47,12,1,PR,1.878.255
219,13/05/00,26,23,49,28,42,36,0,,0
220,20/05/00,36,53,55,13,60,14,1,SP,12.636.751
221,27/05/00,54,13,58,43,50,27,0,,0
222,03/06/00,5,48,30,55,52,19,0,,0
223,10/06/00,28,24,22,2,58,6,0,,0
224,17/06/00,20,16,18,7,44,21,0,,0
225,24/06/00,21,16,4,37,2,58,0,,0
226,01/07/00,2,50,59,38,49,1,1,SP,6.916.920
227,08/07/00,37,26,27,42,11,48,0,,0
228,15/07/00,16,40,45,59,43,13,0,,0
229,22/07/00,39,45,11,21,33,13,1,AM,2.992.781
230,29/07/00,56,44,41,40,8,53,0,,0
231,05/08/00,16,59,27,42,44,36,0,,0
232,12/08/00,29,19,41,22,37,59,0,,0
233,19/08/00,45,3,24,36,7,32,5,DF,3.196.547
234,26/08/00,15,45,54,25,42,41,0,,0
235,02/09/00,29,41,55,2,31,22,0,,0
