C,Data,PDez,SDz,TDz,QDez,QiDez,SxDez,NGan,UF,Rateio
527,07/01/04,17,14,50,52,6,26,0,,0
528,10/01/04,34,28,37,12,8,31,0,,0
529,14/01/04,56,45,13,33,38,1,15,BA,348.732
530,17/01/04,32,21,25,1,6,49,0,,0
531,21/01/04,3,1,35,7,18,50,0,,0
532,24/01/04,13,4,12,53,9,52,0,,0
533,28/01/04,27,18,13,59,21,53,0,,0
534,31/01/04,48,57,23,8,31,3,1,MT,15.184.658
535,04/02/04,49,14,47,56,6,28,1,DF,7.834.139
536,07/02/04,14,22,25,15,37,23,0,,0
537,11/02/04,37,3,19,34,39,7,1,RS,2.054.340
538,14/02/04,45,43,56,25,52,3,0,,0
539,18/02/04,16,50,55,6,47,19,0,,0
540,21/02/04,22,4,30,44,28,49,0,,0
541,28/02/04,58,57,27,13,49,52,1,MG,9.144.543
542,03/03/04,49,4,19,28,35,6,0,,0
543,06/03/04,35,54,37,42,49,46,1,PR,1.836.749
544,10/03/04,11,33,56,47,17,34,0,,0
545,13/03/04,43,35,57,29,40,17,1,ES,6.409.645
546,17/03/04,46,4,54,17,13,5,0,,0
547,20/03/04,4,59,13,53,28,30,1,PB,1.746.857
548,24/03/04,51,49,14,47,59,58,0,,0
549,27/03/04,13,51,58,22,46,8,0,,0
550,31/03/04,17,56,16,38,39,45,0,,0
551,03/04/04,56,48,57,21,12,46,0,,0
552,07/04/04,22,54,52,47,49,9,0,,0
553,10/04/04,43,46,58,53,54,4,0,,0
554,14/04/04,47,29,31,15,60,42,0,,0
555,17/04/04,49,5,23,33,45,31,1,PR,23.810.057
556,21/04/04,8,45,30,33,17,10,0,,0
557,24/04/04,18,49,38,23,8,12,0,,0
558,28/04/04,59,57,7,58,31,14,0,,0
559,01/05/04,53,25,36,13,17,6,1,ES,3.707.152
560,05/05/04,32,18,11,30,2,58,0,,0
561,08/05/04,39,49,36,20,55,1,0,,0
562,12/05/04,37,35,23,16,57,55,0,,0
563,15/05/04,34,8,23,44,51,5,0,,0
564,19/05/04,38,13,32,20,10,49,0,,0
565,22/05/04,31,37,35,7,45,34,0,,0
566,26/05/04,17,6,20,18,13,37,0,,0
567,29/05/04,57,58,11,38,41,31,0,,0
568,02/06/04,25,41,17,29,13,22,0,,0
569,05/06/04,32,15,14,9,3,57,1,RJ,46.663.532
570,09/06/04,35,32,36,33,51,15,0,,0
571,12/06/04,14,31,12,13,51,50,0,,0
572,16/06/04,33,3,20,60,9,16,0,,0
573,19/06/04,59,29,17,6,40,22,0,,0
574,23/06/04,32,23,2,10,44,17,0,,0
575,26/06/04,18,29,21,48,35,5,2,DF,25.737.016
576,30/06/04,18,43,52,39,7,8,0,,0
577,03/07/04,31,47,28,23,8,24,0,,0
578,07/07/04,48,3,58,18,56,23,1,MG,3.982.872
579,10/07/04,15,34,39,17,4,9,1,PB,1.175.432
580,14/07/04,38,16,18,28,15,47,0,,0
581,17/07/04,30,25,52,14,39,17,1,SP,11.781.320
582,21/07/04,13,40,29,59,45,51,0,,0
583,24/07/04,55,6,41,20,43,7,0,,0
584,28/07/04,30,53,23,7,32,8,0,,0
585,31/07/04,24,39,12,33,57,36,1,MG,10.166.807
586,04/08/04,45,38,13,11,54,39,0,,0
587,07/08/04,30,2,36,18,60,29,0,,0
588,11/08/04,45,13,46,55,53,11,0,,0
589,14/08/04,13,7,33,59,6,8,0,,0
590,18/08/04,25,51,5,18,4,28,0,,0
591,21/08/04,58,3,18,50,34,1,0,,0
592,25/08/04,55,14,59,47,13,42,0,,0
593,28/08/04,27,29,1,59,25,49,0,,0
594,01/09/04,10,53,55,29,13,47,0,,0
595,04/09/04,54,2,43,1,50,25,0,,0
596,08/09/04,43,60,28,11,54,14,0,,0
597,11/09/04,42,40,27,22,56,29,0,,0
598,15/09/04,5,16,53,38,50,34,2,DF,23.179.951
599,18/09/04,6,45,51,9,23,4,0,,0
600,22/09/04,18,39,54,34,31,16,0,,0
601,25/09/04,37,19,29,30,10,22,0,,0
602,29/09/04,38,60,13,7,55,46,0,,0
603,02/10/04,4,8,11,29,12,44,1,SP,24.750.883
604,06/10/04,41,49,51,25,15,46,0,,0
605,09/10/04,44,52,53,4,49,24,0,,0
606,13/10/04,41,6,23,55,32,35,1,SP,11.878.491
607,16/10/04,6,59,11,27,19,41,0,,0
608,20/10/04,30,6,37,19,24,13,0,,0
609,23/10/04,15,2,59,60,6,58,0,,0
610,27/10/04,25,49,30,43,47,45,0,,0
611,30/10/04,22,21,33,16,48,49,0,,0
612,03/11/04,55,33,15,50,53,18,0,,0
613,06/11/04,54,55,13,44,6,19,0,,0
614,10/11/04,60,31,12,48,57,16,0,,0
615,13/11/04,27,31,8,10,51,5,0,,0
616,17/11/04,24,16,26,54,12,2,0,,0
617,20/11/04,25,5,49,36,33,3,2,RJ,17.791.387
618,24/11/04,60,10,3,8,24,13,0,,0
619,27/11/04,16,12,46,14,8,19,0,,0
620,01/12/04,22,1,29,13,32,3,0,,0
621,04/12/04,29,31,50,26,57,49,0,,0
622,08/12/04,59,27,19,29,50,38,0,,0
623,11/12/04,42,23,55,30,9,49,0,,0
624,15/12/04,39,23,34,52,8,43,1,MG,22.375.180
625,18/12/04,59,12,32,42,24,40,0,,0
626,22/12/04,49,8,22,18,7,39,0,,0
627,29/12/04,19,13,45,58,56,1,0,,0
628,05/01/05,8,16,22,56,58,30,1,SP,17.373.966
629,08/01/05,40,47,39,16,51,15,1,SE,1.104.456
630,12/01/05,16,53,20,60,12,45,0,,0
631,15/01/05,1,28,47,20,44,32,1,PR,10.579.247
632,19/01/05,2,54,48,51,19,28,0,,0
633,22/01/05,27,46,5,50,11,22,0,,0
634,26/01/05,13,41,24,42,10,56,0,,0
635,29/01/05,49,42,37,8,20,26,0,,0
636,02/02/05,30,32,34,50,28,26,0,,0
637,05/02/05,52,58,43,48,11,18,0,,0
638,12/02/05,42,10,50,41,11,36,0,,0
639,16/02/05,51,39,35,60,45,13,0,,0
640,19/02/05,12,42,59,46,19,60,0,,0
641,23/02/05,17,13,33,9,1,34,1,MG,31.923.289
642,26/02/05,51,17,56,36,44,40,0,,0
643,02/03/05,14,45,24,37,40,42,0,,0
644,05/03/05,57,29,31,27,34,14,0,,0
645,09/03/05,52,48,24,53,54,3,0,,0
646,12/03/05,13,47,60,32,49,10,0,,0
647,16/03/05,56,19,11,14,12,54,1,SP,17.603.353
648,19/03/05,5,48,23,42,45,29,3,MG,361.199
649,23/03/05,9,54,41,48,33,24,0,,0
650,26/03/05,53,59,25,29,10,24,0,,0
651,30/03/05,39,45,28,26,48,60,0,,0
652,02/04/05,24,18,57,56,10,20,0,,0
653,06/04/05,31,24,19,34,9,5,0,,0
654,09/04/05,10,11,56,40,41,6,1,MG,15.767.596
655,13/04/05,26,39,1,37,43,48,0,,0
656,16/04/05,59,37,46,36,35,51,0,,0
657,20/04/05,20,59,58,33,60,16,1,PR,11.354.235
658,23/04/05,41,20,36,3,11,6,0,,0
659,27/04/05,14,29,40,34,51,52,0,,0
660,30/04/05,53,5,38,54,46,11,0,,0
661,04/05/05,42,40,27,4,55,36,0,,0
662,07/05/05,4,60,56,25,18,23,0,,0
663,11/05/05,1,49,30,55,27,51,0,,0
664,14/05/05,12,1,55,59,38,36,0,,0
665,18/05/05,8,47,7,48,25,18,0,,0
666,21/05/05,7,26,16,29,45,55,0,,0
667,25/05/05,5,23,16,4,49,1,1,SP,34.263.173
668,28/05/05,49,33,56,2,14,1,0,,0
669,01/06/05,7,41,24,40,49,27,1,SP,2.170.216
670,04/06/05,42,59,58,37,48,22,0,,0
671,08/06/05,27,16,39,51,9,38,0,,0
672,11/06/05,43,34,53,38,28,24,0,,0
673,15/06/05,6,40,37,11,20,34,0,,0
674,18/06/05,22,32,18,29,42,38,0,,0
675,22/06/05,50,42,30,25,43,24,0,,0
676,25/06/05,49,32,15,9,41,42,0,,0
677,29/06/05,25,10,48,8,32,55,0,,0
678,02/07/05,44,46,31,14,40,42,0,,0
679,06/07/05,37,21,54,3,58,25,1,RJ,51.890.452
680,09/07/05,44,2,26,5,3,22,0,,0
681,13/07/05,59,21,53,25,58,38,0,,0
682,16/07/05,60,37,47,36,4,27,0,,0
683,20/07/05,43,40,12,11,2,35,0,,0
684,23/07/05,50,37,33,40,19,17,0,,0
685,27/07/05,33,27,5,56,12,43,1,SP,44.331.219
686,30/07/05,33,5,4,54,15,26,0,,0
687,03/08/05,59,48,1,7,41,14,0,,0
688,06/08/05,47,30,52,11,21,35,0,,0
689,10/08/05,6,60,7,31,49,51,0,,0
690,13/08/05,15,41,8,47,12,53,0,,0
691,17/08/05,55,16,58,8,37,50,0,,0
692,20/08/05,33,18,60,11,58,57,0,,0
693,24/08/05,14,50,41,17,31,13,0,,0
694,27/08/05,15,19,29,53,37,41,0,,0
695,31/08/05,13,40,21,52,6,11,0,,0
696,03/09/05,37,16,34,57,53,9,2,MA,19.251.302
697,10/09/05,53,35,32,31,28,51,0,,0
698,14/09/05,22,8,27,43,55,12,0,,0
699,19/09/05,53,17,50,23,54,48,0,,0
700,21/09/05,2,3,24,40,31,14,0,,0
701,24/09/05,13,1,31,23,60,48,0,,0
702,28/09/05,1,56,18,58,45,57,0,,0
703,01/10/05,30,24,2,45,11,27,0,,0
704,05/10/05,2,27,50,34,18,4,0,,0
705,08/10/05,3,15,11,13,26,43,0,,0
706,15/10/05,22,10,17,7,2,60,0,,0
707,19/10/05,51,8,1,43,10,36,2,MG,19.919.975
708,22/10/05,45,13,39,47,9,7,0,,0
709,26/10/05,29,22,44,9,6,4,0,,0
710,29/10/05,46,25,5,49,39,34,0,,0
711,05/11/05,10,5,41,59,40,33,0,,0
712,09/11/05,35,7,53,58,8,43,0,,0
713,12/11/05,46,1,26,16,12,54,0,,0
714,16/11/05,17,53,39,8,7,35,0,,0
715,19/11/05,54,36,12,4,33,24,3,GO,10.825.809
716,23/11/05,29,2,7,50,16,32,1,RJ,945.382
717,26/11/05,28,35,41,17,6,23,0,,0
718,30/11/05,7,35,21,39,58,33,0,,0
719,03/12/05,39,47,37,53,32,3,0,,0
720,07/12/05,12,56,44,51,31,54,0,,0
721,10/12/05,14,3,23,55,36,25,0,,0
722,14/12/05,60,36,57,18,44,9,0,,0
723,17/12/05,16,6,52,1,36,50,0,,0
724,21/12/05,34,51,55,17,48,27,0,,0
725,31/12/05,49,9,3,35,37,41,2,MG,15.815.987
726,04/01/06,40,47,1,5,7,37,0,,0
727,07/01/06,14,42,12,4,59,30,0,,0
728,11/01/06,44,42,13,8,24,32,0,,0
729,14/01/06,33,56,18,57,43,5,1,MG,4.969.519
730,18/01/06,45,15,2,54,16,50,0,,0
731,21/01/06,35,6,15,23,28,16,0,,0
732,25/01/06,49,19,53,50,17,6,0,,0
733,28/01/06,12,26,31,43,46,2,0,,0
734,01/02/06,44,45,27,29,43,54,1,MG,16.726.569
735,04/02/06,40,42,15,52,38,9,0,,0
736,08/02/06,1,21,38,41,56,49,0,,0
737,11/02/06,33,12,24,38,11,32,0,,0
738,15/02/06,15,30,14,42,26,54,0,,0
739,18/02/06,6,45,56,49,35,10,0,,0
740,22/02/06,29,47,12,50,16,28,1,PR,26.132.814
741,25/02/06,26,39,27,24,59,36,0,,0
742,01/03/06,34,17,7,41,2,50,0,,0
743,04/03/06,54,20,32,60,25,23,0,,0
744,08/03/06,26,46,12,23,39,4,0,,0
745,11/03/06,21,57,37,16,43,2,0,,0
746,15/03/06,49,12,10,57,25,1,2,RS,6.995.681
747,18/03/06,21,23,56,12,3,2,0,,0
748,22/03/06,1,7,19,51,35,2,0,,0
749,25/03/06,24,47,4,57,48,50,0,,0
750,29/03/06,58,17,54,10,42,33,0,,0
751,01/04/06,4,25,38,50,20,7,0,,0
752,05/04/06,25,4,29,42,24,23,0,,0
753,08/04/06,59,35,43,22,7,2,1,BA,17.388.228
754,12/04/06,4,42,34,50,3,13,0,,0
755,15/04/06,59,30,47,12,4,49,0,,0
756,19/04/06,37,50,41,5,38,27,0,,0
757,22/04/06,17,32,12,18,58,30,0,,0
758,26/04/06,47,59,1,23,36,43,0,,0
759,29/04/06,59,39,30,31,48,45,0,,0
760,03/05/06,12,17,60,44,46,45,0,,0
761,06/05/06,56,29,17,13,27,40,0,,0
762,10/05/06,39,9,21,12,37,54,0,,0
763,13/05/06,40,47,1,48,9,26,0,,0
764,18/05/06,7,3,55,47,53,45,1,PA,40.539.530
765,21/05/06,3,37,50,16,30,10,0,,0
766,24/05/06,1,50,19,42,24,58,0,,0
767,27/05/06,22,50,32,38,54,15,0,,0
768,31/05/06,33,37,59,30,4,8,1,MG,21.024.430
769,03/06/06,20,21,50,29,12,16,0,,0
770,07/06/06,4,34,25,35,48,12,0,,0
771,10/06/06,29,46,34,47,21,14,0,,0
772,14/06/06,38,51,52,60,10,35,0,,0
773,17/06/06,3,5,51,29,34,14,0,,0
774,21/06/06,37,5,54,58,46,10,1,PA,16.319.071
775,24/06/06,27,12,46,47,42,50,0,,0
776,28/06/06,57,35,60,41,3,15,0,,0
777,01/07/06,14,50,23,2,28,56,0,,0
778,05/07/06,45,20,36,37,31,51,0,,0
779,08/07/06,36,54,52,25,29,26,0,,0
780,12/07/06,10,50,28,51,59,7,0,,0
781,15/07/06,10,54,8,39,56,13,0,,0
782,19/07/06,11,23,59,42,35,2,0,,0
783,22/07/06,43,21,48,8,4,32,1,MT,28.244.624
784,26/07/06,42,56,8,37,27,53,0,,0
785,29/07/06,35,5,37,8,48,17,1,RJ,9.770.979
786,02/08/06,27,31,26,11,10,41,0,,0
787,05/08/06,37,31,20,60,34,54,0,,0
788,09/08/06,31,57,17,19,29,44,0,,0
789,12/08/06,60,39,31,38,6,50,0,,0
790,16/08/06,22,2,19,28,43,6,0,,0
791,19/08/06,42,35,19,9,14,58,1,SP,12.212.213
792,23/08/06,43,56,9,45,29,34,0,,0
793,26/08/06,3,51,33,15,16,57,0,,0
794,30/08/06,56,47,55,38,42,3,0,,0
795,02/09/06,14,36,21,29,26,48,0,,0
796,06/09/06,19,24,43,34,39,5,0,,0
797,09/09/06,58,48,52,47,12,6,0,,0
798,13/09/06,32,9,4,52,29,3,0,,0
799,16/09/06,29,35,19,57,42,55,0,,0
800,20/09/06,1,7,56,11,37,38,0,,0
801,23/09/06,20,22,11,19,48,42,0,,0
802,27/09/06,14,24,60,6,18,48,0,,0
803,30/09/06,10,57,28,3,5,21,0,,0
804,04/10/06,13,59,37,56,3,47,1,SP,34.172.202
805,07/10/06,30,2,48,60,43,36,0,,0
806,12/10/06,60,41,47,26,35,18,0,,0
807,14/10/06,8,27,2,32,56,49,0,,0
808,18/10/06,15,21,31,46,2,57,0,,0
809,21/10/06,25,23,11,5,30,15,0,,0
810,25/10/06,4,33,1,48,5,37,0,,0
811,28/10/06,32,57,28,41,10,47,2,RS,14.597.902
812,01/11/06,57,39,54,11,38,13,0,,0
813,04/11/06,23,15,56,46,9,45,0,,0
814,08/11/06,11,2,46,50,8,41,0,,0
815,11/11/06,57,50,9,39,37,19,0,,0
816,16/11/06,21,47,40,52,30,20,0,,0
817,18/11/06,34,43,29,30,10,52,0,,0
818,22/11/06,44,41,22,8,9,25,0,,0
819,25/11/06,51,5,58,46,25,19,0,,0
820,29/11/06,17,45,32,21,10,46,2,SP,13.046.320
821,02/12/06,4,29,38,36,33,42,0,,0
822,06/12/06,4,17,41,10,27,52,0,,0
823,09/12/06,15,26,59,1,54,51,0,,0
824,13/12/06,33,48,6,7,20,9,0,,0
825,16/12/06,28,21,40,10,41,47,0,,0
826,19/12/06,45,6,8,7,53,27,0,,0
827,21/12/06,24,56,30,51,42,18,0,,0
828,23/12/06,23,50,53,42,28,38,0,,0
829,31/12/06,32,50,14,47,10,56,0,,0
830,03/01/07,53,51,2,41,13,49,0,,0
831,06/01/07,3,50,48,42,32,33,0,,0
832,10/01/07,17,49,15,33,39,23,1,GO,52.807.317
833,13/01/07,53,58,57,16,46,13,0,,0
834,17/01/07,44,10,17,16,51,34,1,SP,2.820.323
835,20/01/07,58,31,57,49,33,18,0,,0
836,24/01/07,28,22,38,17,52,59,0,,0
837,27/01/07,16,5,24,34,6,60,1,GO,25.067.473
838,31/01/07,9,30,47,38,23,44,0,,0
839,03/02/07,11,18,8,7,37,43,0,,0
840,07/02/07,43,29,35,59,31,17,0,,0
841,10/02/07,36,51,32,22,38,7,0,,0
842,14/02/07,51,44,60,9,7,30,0,,0
843,17/02/07,34,48,1,16,45,36,0,,0
844,24/02/07,54,24,44,57,34,16,0,,0
845,28/02/07,40,48,19,20,14,52,0,,0
846,03/03/07,47,54,2,50,3,44,0,,0
847,07/03/07,42,14,44,27,15,48,1,RS,40.484.388
848,10/03/07,56,34,17,32,47,27,1,MG,1.351.049
849,14/03/07,8,39,9,58,44,49,0,,0
850,17/03/07,60,22,59,25,44,7,0,,0
851,21/03/07,16,32,35,58,19,3,3,SP,4.966.312
852,24/03/07,14,38,6,23,44,34,0,,0
853,28/03/07,51,30,59,46,38,56,0,,0
854,31/03/07,17,3,24,27,44,25,0,,0
855,04/04/07,42,3,24,53,43,31,0,,0
856,07/04/07,11,40,41,47,15,42,0,,0
857,11/04/07,17,59,49,2,3,50,0,,0
858,14/04/07,31,37,54,23,4,18,2,PR,8.889.537
859,18/04/07,46,47,12,57,34,9,0,,0
860,23/04/07,22,8,17,42,44,2,0,,0
861,25/04/07,42,40,60,59,47,39,1,ES,10.840.760
862,28/04/07,19,35,12,2,11,8,1,RS,1.152.211
863,02/05/07,32,53,50,57,15,24,0,,0
864,05/05/07,31,11,33,42,57,8,0,,0
865,09/05/07,27,23,41,51,26,53,0,,0
866,12/05/07,36,48,27,40,5,46,0,,0
867,16/05/07,54,26,28,19,44,10,0,,0
868,19/05/07,57,51,21,22,25,40,0,,0
869,23/05/07,29,42,50,51,49,27,1,SP,16.192.436
870,26/05/07,52,8,43,34,40,21,0,,0
871,30/05/07,17,5,58,1,47,10,0,,0
872,02/06/07,18,55,58,43,31,5,0,,0
873,06/06/07,57,59,4,34,19,30,0,,0
874,09/06/07,59,20,52,42,44,10,0,,0
875,13/06/07,53,18,36,58,24,20,1,SP,26.631.943
876,16/06/07,4,12,41,45,60,8,0,,0
877,20/06/07,13,15,20,31,28,36,0,,0
878,23/06/07,37,12,43,38,11,54,0,,0
879,27/06/07,29,10,46,35,42,28,0,,0
880,30/06/07,51,30,49,25,37,46,0,,0
881,04/07/07,43,24,4,51,18,56,0,,0
882,07/07/07,42,45,44,60,41,17,1,SC,21.492.982
883,11/07/07,21,37,60,32,52,53,0,,0
884,14/07/07,22,11,2,14,39,12,0,,0
885,18/07/07,13,4,31,33,47,51,0,,0
886,21/07/07,50,55,37,33,59,17,0,,0
887,25/07/07,44,12,32,21,1,34,0,,0
888,28/07/07,50,24,40,54,52,60,1,DF,18.947.548
889,01/08/07,34,54,20,39,60,24,0,,0
890,04/08/07,9,21,22,7,17,54,0,,0
891,08/08/07,15,22,19,35,34,16,0,,0
892,11/08/07,1,49,52,42,19,44,0,,0
893,15/08/07,56,53,51,26,18,3,0,,0
894,18/08/07,37,24,44,28,20,41,0,,0
895,22/08/07,2,55,41,43,57,58,0,,0
896,25/08/07,31,11,41,35,22,5,0,,0
897,29/08/07,21,57,46,22,7,43,0,,0
898,01/09/07,4,8,3,54,45,30,2,RO,27.782.053
899,05/09/07,58,18,54,36,53,20,0,,0
900,08/09/07,4,21,59,18,38,34,1,DF,23.334.752
901,12/09/07,32,34,16,13,56,33,0,,0
902,15/09/07,52,55,23,50,58,18,0,,0
903,19/09/07,17,5,32,55,20,41,0,,0
904,22/09/07,32,44,59,53,48,51,0,,0
905,26/09/07,4,15,57,55,2,16,1,RJ,18.405.503
906,29/09/07,35,39,29,24,7,14,1,MT,1.583.115
907,03/10/07,9,41,53,37,36,51,0,,0
908,06/10/07,19,1,9,25,50,52,0,,0
909,10/10/07,42,17,26,38,28,22,0,,0
910,13/10/07,53,29,36,3,15,27,0,,0
911,17/10/07,49,46,1,29,6,28,1,MT,15.981.772
912,20/10/07,26,21,54,4,19,29,0,,0
913,24/10/07,30,14,59,36,46,38,1,DF,2.915.782
914,27/10/07,33,51,9,23,45,12,0,,0
915,31/10/07,20,28,49,26,17,48,1,GO,9.448.268
916,03/11/07,33,37,5,38,28,36,0,,0
917,07/11/07,23,59,25,47,46,30,0,,0
918,10/11/07,38,44,8,4,12,52,0,,0
919,14/11/07,43,25,41,60,31,3,0,,0
920,17/11/07,17,57,55,24,52,5,0,,0
921,21/11/07,35,41,1,57,9,48,0,,0
922,24/11/07,41,49,45,19,13,12,0,,0
923,28/11/07,53,39,2,50,57,15,0,,0
924,01/12/07,51,27,60,21,20,2,0,,0
925,05/12/07,52,37,46,8,22,36,1,SP,40.628.613
926,08/12/07,40,41,34,33,21,59,0,,0
927,12/12/07,36,26,31,23,19,33,0,,0
928,15/12/07,32,10,49,60,4,33,1,SC,5.077.029
929,19/12/07,16,49,35,39,57,27,0,,0
930,22/12/07,46,20,55,37,28,49,0,,0
931,31/12/07,17,34,7,36,39,19,0,,0
932,05/01/08,2,21,42,53,36,17,1,RN,19.685.655
933,09/01/08,25,39,45,51,8,14,0,,0
934,12/01/08,25,48,44,3,21,1,0,,0
935,16/01/08,7,45,18,13,29,31,0,,0
936,19/01/08,5,33,14,29,44,22,2,RJ,8.699.137
937,23/01/08,22,41,2,30,21,52,0,,0
938,26/01/08,35,15,27,57,50,59,0,,0
939,30/01/08,6,23,19,50,37,49,0,,0
940,02/02/08,25,33,51,31,5,37,0,,0
941,06/02/08,11,15,10,27,60,53,0,,0
942,09/02/08,5,52,18,8,59,42,0,,0
943,13/02/08,47,41,58,3,23,12,1,RS,20.498.366
944,16/02/08,16,58,43,37,52,59,0,,0
945,20/02/08,44,8,59,54,4,27,0,,0
946,23/02/08,59,1,47,5,52,12,0,,0
947,27/02/08,33,11,3,58,14,5,1,SP,16.035.424
948,01/03/08,22,44,41,46,52,54,0,,0
949,05/03/08,44,1,51,52,41,23,0,,0
950,08/03/08,48,59,49,41,42,23,0,,0
951,12/03/08,49,24,39,34,55,14,0,,0
952,15/03/08,54,11,27,18,2,30,0,,0
953,19/03/08,55,48,1,39,16,42,1,MG,20.509.951
954,22/03/08,8,5,24,18,57,33,0,,0
955,26/03/08,35,5,32,21,33,12,2,MG,5.678.963
956,29/03/08,46,51,47,59,54,57,1,SP,1.385.109
957,02/04/08,50,32,25,34,57,24,0,,0
958,05/04/08,13,22,7,33,51,48,3,BA,978.205
959,09/04/08,57,3,5,11,33,39,0,,0
960,12/04/08,34,6,33,18,53,19,0,,0
961,16/04/08,16,53,2,4,21,36,0,,0
962,19/04/08,2,48,49,40,55,11,1,RS,13.272.508
963,23/04/08,37,17,15,50,48,59,0,,0
964,26/04/08,42,13,33,20,8,26,0,,0
965,30/04/08,36,39,57,58,5,30,0,,0
966,03/05/08,1,58,26,28,4,41,0,,0
967,07/05/08,18,14,57,30,13,5,0,,0
968,10/05/08,30,4,13,60,51,1,0,,0
969,14/05/08,56,35,50,13,41,25,1,PE,21.823.614
970,17/05/08,57,34,5,54,28,21,3,GO,3.712.467
971,21/05/08,4,14,33,44,11,45,0,,0
972,24/05/08,33,18,15,56,31,34,3,PE,912.435
973,28/05/08,53,36,8,30,1,47,0,,0
974,31/05/08,45,20,38,31,16,12,0,,0
975,04/06/08,33,9,37,40,41,30,0,,0
976,07/06/08,28,53,38,23,14,25,0,,0
977,11/06/08,17,3,9,32,7,5,1,SP,16.584.111
978,14/06/08,42,58,12,18,16,27,0,,0
979,18/06/08,28,3,39,51,31,15,0,,0
980,21/06/08,35,17,59,15,36,29,0,,0
981,25/06/08,8,41,53,1,58,34,0,,0
982,28/06/08,12,24,8,40,43,49,0,,0
983,02/07/08,38,45,40,16,32,22,1,SC,24.038.180
984,05/07/08,46,20,4,43,47,10,0,,0
985,09/07/08,4,56,18,59,46,16,0,,0
986,12/07/08,32,6,31,24,15,19,0,,0
987,16/07/08,47,27,13,31,34,58,0,,0
988,19/07/08,48,17,46,56,60,8,0,,0
989,23/07/08,38,21,27,2,29,32,0,,0
990,26/07/08,29,18,2,15,10,39,2,MG,26.586.140
991,30/07/08,8,38,60,41,15,9,0,,0
992,02/08/08,6,8,4,1,25,28,0,,0
993,06/08/08,26,25,42,60,5,24,0,,0
994,09/08/08,44,40,58,29,3,20,0,,0
995,13/08/08,4,54,55,36,16,31,0,,0
996,16/08/08,21,23,20,7,29,15,2,SC,14.458.257
997,20/08/08,18,53,55,32,9,17,0,,0
998,23/08/08,28,21,4,32,3,22,0,,0
999,27/08/08,44,36,55,58,18,24,0,,0
1000,30/08/08,49,58,53,39,38,29,0,,0
1001,03/09/08,15,37,27,12,60,51,0,,0
1002,06/09/08,3,31,7,25,40,58,1,MG,24.880.988
1003,10/09/08,10,27,23,5,16,26,1,PE,1.609.524
1004,13/09/08,45,47,29,40,44,43,0,,0
1005,17/09/08,6,41,4,37,12,42,1,RJ,12.989.451
1006,20/09/08,48,17,4,33,55,2,1,MG,1.675.260
1007,24/09/08,49,27,4,36,52,37,0,,0
1008,27/09/08,7,15,42,48,34,13,0,,0
1009,01/10/08,34,12,1,6,58,29,2,PA,2.591.825
1010,04/10/08,2,46,3,37,13,54,0,,0
1011,08/10/08,30,2,52,21,11,35,0,,0
1012,11/10/08,47,19,58,14,40,55,0,,0
1013,15/10/08,7,9,20,41,12,19,1,SP,15.668.367
1014,18/10/08,60,57,9,25,8,41,0,,0
1015,22/10/08,49,8,28,3,26,17,0,,0
1016,25/10/08,11,9,25,5,60,20,1,PB,13.814.409
1017,29/10/08,31,51,19,6,56,34,0,,0
1018,01/11/08,55,51,58,9,44,24,0,,0
1019,05/11/08,29,47,4,13,46,23,0,,0
1020,08/11/08,19,32,52,1,2,39,0,,0
1021,12/11/08,42,55,51,43,2,33,1,MG,17.819.642
1022,16/11/08,31,21,40,39,56,5,0,,0
1023,19/11/08,45,40,2,7,18,8,0,,0
1024,22/11/08,28,53,18,39,22,29,0,,0
1025,26/11/08,52,40,29,27,28,10,0,,0
1026,29/11/08,10,33,51,53,6,17,0,,0
1027,03/12/08,20,18,47,44,60,33,0,,0
1028,06/12/08,54,26,34,51,20,52,0,,0
1029,10/12/08,17,5,16,24,20,32,1,RJ,32.271.347
1030,13/12/08,57,8,54,1,23,37,0,,0
1031,17/12/08,49,33,24,40,46,43,1,SP,19.067.463
1032,20/12/08,57,43,15,29,26,16,0,,0
1033,24/12/08,39,6,5,33,54,17,0,,0
1034,27/12/08,20,42,1,3,49,18,0,,0
1035,31/12/08,51,60,1,11,59,26,0,,0
1036,03/01/09,27,39,36,10,41,52,1,MG,44.550.370
1037,07/01/09,56,36,4,44,46,53,0,,0
1038,10/01/09,51,7,6,28,35,43,0,,0
1039,14/01/09,52,2,20,27,36,24,0,,0
1040,17/01/09,44,1,28,55,6,39,0,,0
1041,21/01/09,12,10,36,54,44,57,1,RJ,29.372.147
1042,24/01/09,25,46,51,18,13,30,0,,0
1043,28/01/09,25,14,51,48,60,21,0,,0
1044,31/01/09,58,10,39,11,13,35,0,,0
1045,04/02/09,31,6,5,17,50,1,0,,0
1046,07/02/09,57,40,28,42,54,55,1,SC,23.031.543
1047,11/02/09,1,2,10,48,14,8,0,,0
1048,14/02/09,57,3,38,21,28,16,1,SP,3.901.088
1049,18/02/09,34,17,52,5,2,29,1,SP,1.636.050
1050,21/02/09,60,14,45,24,33,26,0,,0
1051,25/02/09,57,11,7,43,10,13,0,,0
1052,28/02/09,8,11,16,15,57,52,1,RJ,14.557.865
1053,04/03/09,15,42,27,53,34,49,1,RS,1.629.650
1054,07/03/09,41,27,13,60,14,18,0,,0
1055,11/03/09,27,32,15,12,20,16,2,SP,5.273.833
