Data,Fechamento,Maxima,Minima
04/Fev/21,28.82,28.99,28.21
05/Fev/21,28.84,30.09,28.32
08/Fev/21,28.11,29.30,27.80
09/Fev/21,27.54,28.37,27.38
11/Fev/21,28.08,28.50,27.87
12/Fev/21,28.44,28.49,27.61
15/Fev/21,28.44,28.49,27.61
16/Fev/21,28.44,28.49,27.61
17/Fev/21,29.59,29.60,28.13
18/Fev/21,29.27,30.92,29.04
19/Fev/21,27.33,28.49,27.17
22/Fev/21,21.45,23.20,21.40
23/Fev/21,24.06,24.26,22.71
24/Fev/21,24.40,25.00,24.01
25/FEV/21,23.19,25.25,23.10
26/FEV/21,22.24,23.42,21.97
01/Mar/21,22.00,23.04,21.92
02/Mar/21,21.99,22.33,20.67
03/Mar/21,21.19,21.89,20.48
04/Mar/21,22.22,22.40,21.12
05/Mar/21,22.39,23.22,22.29
08/Mar/21,21.10,22.28,20.96
09/Mar/21,21.59,21.95,20.86
10/Mar/21,22.34,22.34,21.58
11/Mar/21,23.29,23.49,22.61
12/Mar/21,23.17,23.38,22.86
15/Mar/21,23.65,23.68,23.10
16/Mar/21,23.30,23.68,23.23
17/Mar/21,24.04,24.13,23.11
18/Mar/21,23.24,23.90,23.07
19/Mar/21,23.99,24.04,23.18
19/Mar/21,23.99,24.04,23.18
22/Mar/21,23.61,23.78,23.23
23/Mar/21,22.81,23.63,22.80
24/Mar/21,22.80,23.54,22.75
25/Mar/21,23.16,23.30,22.16
26/Mar/21,23.46,23.88,23.11
29/Mar/21,23.82,23.83,23.28
30/Mar/21,23.83,23.99,23.57
31/Mar/21,24.12,24.23,23.78
01/Abr/21,23.86,24.39,23.78
02/Abr/21,23.86,24.39,23.78
05/Abr/21,24.02,24.20,23.68
06/Abr/21,24.01,24.37,23.91
07/Abr/21,24.02,24.34,23.93
08/Abr/21,23.72,24.04,23.37
09/Abr/21,23.64,23.78,23.37
12/Abr/21,23.88,24.37,23.78
13/Abr/21,23.98,24.11,23.69
14/Abr/21,24.35,24.58,23.98
15/Abr/21,23.10,23.83,23.02
16/Abr/21,22.98,23.24,22.81
19/Abr/21,24.25,24.89,22.77
20/Abr/21,23.83,24.59,23.76
21/Abr/21,23.83,24.59,23.76
22/Abr/21,23.73,24.19,23.65
23/Abr/21,23.70,23.94,23.51
26/Abr/21,23.78,24.05,23.61
27/Abr/21,23.15,24.17,23.10
28/Abr/21,23.92,24.09,23.36
29/Abr/21,23.62,24.29,23.42
30/Abr/21,23.65,23.93,23.28
03/Mai/21,23.43,23.81,23.30
04/Mai/21,22.91,23.64,22.88
05/Mai/21,23.82,23.95,23.12
06/Mai/21,23.50,23.85,23.40
07/Mai/21,24.36,24.45,23.46
10/Mai/21,24.75,24.98,24.58
11/Mai/21,25.14,25.17,24.32
12/Mai/21,24.79,25.53,24.69
13/Mai/21,24.93,25.10,24.43
14/Mai/21,26.25,26.38,25.55
17/Mai/21,26.64,26.67,26.20
18/Mai/21,26.38,26.80,26.27
19/Mai/21,26.16,26.35,25.80
19/Mai/21,26.16,26.35,25.80
20/Mai/21,25.93,26.28,25.72
21/Mai/21,25.95,26.31,25.94
24/Mai/21,26.35,26.52,25.99
25/Mai/21,25.88,26.62,25.78
26/Mai/21,26.07,26.18,25.65
27/Mai/21,25.91,26.25,25.77
28/Mai/21,27.00,27.02,26.15











